devis_id;date_emission;mois;exercice;client_id;type_client;agence;commercial;categorie;code_prestation;libelle_prestation;quantite;montant_ht;statut;date_decision;delai_1ere_relance_j;nb_relances
DEV-00001;2022-07-01;2022-07;2022-2023;CLI-0170;Particulier;Toulouse;Julien Fabre;Plomberie;PR-003;Réfection réseau eau appartement;1;3434.79;Sans réponse;2022-07-28;4;2
DEV-00002;2022-07-01;2022-07;2022-2023;CLI-0150;Particulier;Bordeaux;Sophie Marchand;Plomberie;PR-002;Recherche de fuite + réparation;1;420.94;Refusé;2022-07-04;1;1
DEV-00003;2022-07-01;2022-07;2022-2023;CLI-0145;Collectivité;Bordeaux;Karim Belkacem;Salle de bain;SB-001;Rénovation salle de bain complète;1;20469.82;Refusé;2022-07-12;;0
DEV-00004;2022-07-04;2022-07;2022-2023;CLI-0120;Particulier;Toulouse;Julien Fabre;Plomberie;PR-003;Réfection réseau eau appartement;1;2836.66;Refusé;2022-07-28;10;2
DEV-00005;2022-07-05;2022-07;2022-2023;CLI-0004;Particulier;Bordeaux;Karim Belkacem;Chauffage;CH-003;Installation pompe à chaleur air/eau;1;13409.78;Refusé;2022-07-08;9;0
DEV-00006;2022-07-05;2022-07;2022-2023;CLI-0114;Particulier;Bordeaux;Sophie Marchand;Plomberie;PR-002;Recherche de fuite + réparation;1;408.99;Accepté;2022-07-17;1;2
DEV-00007;2022-07-06;2022-07;2022-2023;CLI-0068;Particulier;Bordeaux;Karim Belkacem;Plomberie;PR-001;Remplacement chauffe-eau 200 L;1;1043.35;Refusé;2022-08-04;1;1
DEV-00008;2022-07-06;2022-07;2022-2023;CLI-0160;Particulier;Bordeaux;Karim Belkacem;Plomberie;PR-004;Remplacement colonne d'évacuation;1;5812.36;Accepté;2022-08-07;3;1
DEV-00009;2022-07-06;2022-07;2022-2023;CLI-0102;Particulier;Toulouse;Julien Fabre;Plomberie;PR-002;Recherche de fuite + réparation;1;420.81;Refusé;2022-07-28;8;2
DEV-00010;2022-07-08;2022-07;2022-2023;CLI-0089;Particulier;Bordeaux;Karim Belkacem;Salle de bain;SB-003;Pose meuble vasque + robinetterie;1;1332.2;Accepté;2022-08-04;1;3
